"skim_type","skim_variable","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"numeric","v1028086",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.039825634144,805.071543012357,0,0,234.087585505,625.6258861725,21843.80027338,"▇▁▁▁▁"
"numeric","v1028087",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.800771908731,798.918640446359,0,0,235.464556815,622.63152429,12869.93890374,"▇▁▁▁▁"
"numeric","v1028088",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.525796433593,821.624376318706,0,0,233.83175458,623.0619954275,32042.71527708,"▇▁▁▁▁"
"numeric","v1028089",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.449189282596,789.343115223934,0,0,234.123891705,624.713090885,21410.78560796,"▇▁▁▁▁"
"numeric","v1028090",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.488027998228,805.346544660346,0,0,230.572429805,628.90521635,20092.84007628,"▇▁▁▁▁"
"numeric","v1028091",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.00426967877,807.725117603676,0,0,240.136483415,627.567038855,19835.91380155,"▇▁▁▁▁"
"numeric","v1028092",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.044173512414,798.609504103036,0,0,234.92947981,619.26490886,18411.38962399,"▇▁▁▁▁"
"numeric","v1028093",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.236463221965,806.834354576703,0,0,234.230521855,617.099220155,20818.58687493,"▇▁▁▁▁"
"numeric","v1028094",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.515781903739,788.53322851801,0,0,231.66503292,623.06688476,16925.66917214,"▇▁▁▁▁"
"numeric","v1028095",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.464947743797,781.935161439484,0,0,231.663771395,626.50664375,14518.80402437,"▇▁▁▁▁"
"numeric","v1028096",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.754051750444,805.940665657642,0,0,235.690181135,621.8643335,14289.29809475,"▇▁▁▁▁"
"numeric","v1028097",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.640242936458,841.861048239624,0,0,230.15145336,624.1854747675,38175.14434109,"▇▁▁▁▁"
"numeric","v1028098",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.077014916394,785.491593227597,0,0,233.38565823,620.5907523125,13243.08954426,"▇▁▁▁▁"
"numeric","v1028099",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.234770308373,807.113656123939,0,0,234.01798976,623.1039054975,20591.91849207,"▇▁▁▁▁"
"numeric","v1028100",0,1,NA,NA,NA,NA,NA,NA,NA,NA,479.960564190495,779.595341348078,0,0,238.22340408,622.4926670475,13759.02573604,"▇▁▁▁▁"
"numeric","v1028101",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.660374768297,798.210325346974,0,0,231.55999362,623.0132485575,15301.25999925,"▇▁▁▁▁"
"numeric","v1028102",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.232939256071,783.142359020856,0,0,236.055454425,627.670676425,15676.64329298,"▇▁▁▁▁"
"numeric","v1028103",0,1,NA,NA,NA,NA,NA,NA,NA,NA,482.080042372822,839.61783974887,0,0,229.080287015,620.45395665,27534.13723976,"▇▁▁▁▁"
"numeric","v1028104",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.692069808853,798.306508952099,0,0,233.910858835,621.21446583,13484.38750857,"▇▁▁▁▁"
"numeric","v1028105",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.945728665195,779.504383791099,0,0,240.11048554,625.7496009175,12930.82093678,"▇▁▁▁▁"
"numeric","v1028106",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.958151884753,798.257503144925,0,0,231.00105188,628.1305327425,20474.06774836,"▇▁▁▁▁"
"numeric","v1028107",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.294595246302,778.595413204708,0,0,236.26569832,626.32452749,13652.95072961,"▇▁▁▁▁"
